Country,Subtopic,Status,Justification
Cabo Verde (Cape Verde),Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Cabo Verde (Cape Verde),Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Cabo Verde (Cape Verde),Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Cabo Verde (Cape Verde),Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Cabo Verde (Cape Verde),Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Cabo Verde (Cape Verde),Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Cambodia,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Cambodia,Digital sequence information (DSI),DSI is included,"""Genetic Resources"" is explicitly defined as any genetic material including genetic information."
Cambodia,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Cambodia,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
